college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,TFWS,81.1614491,True,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,EWS,32.8344132,False,True
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,DEFOPENS,70.4092512,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,GOPENS,91.8342241,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,GSTS,46.3828235,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,GOBCS,91.1978661,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,GSEBCS,76.933232,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,LOPENS,93.0070517,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,LSCS,91.0655077,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,LSEBCS,74.6830629,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,EWS,89.3907269,False,True
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,State Level,DEFSEBCS,73.112247,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524610,Information Technology,State Level,GOPENS,89.4907774,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524610,Information Technology,State Level,GSTS,33.5585964,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524610,Information Technology,State Level,GNT1S,83.639399,False,False
